epoch,train_g_loss,train_d_loss,train_adv_loss,train_feature_matching_loss,train_reconstruction_loss,lr_g,lr_d,val_raw_model_mae,val_raw_model_cloud_mae,val_model_mae,val_model_cloud_mae,val_rgb_mask_mae,val_band13_mask_mae,val_heavy_cloud_mae,val_t0_cloud_mae,val_cloud_fraction,val_heavy_fraction
11,0.022467708377613842,0.6465255722093085,0.7876370535232127,0.013490432845477093,0.021005549668188905,5.663370756099138e-06,2.831685378049569e-06,0.02399153010143588,0.017590625046674784,0.009201015112921596,0.012270190510510778,0.008994007473423457,0.012270190510510778,0.016780117769604145,0.07957224227720872,0.1424314754937465,0.07678135236104329
12,0.022583793127220513,0.6377548049204051,0.805419406077514,0.014459410609561019,0.02105540318977243,5.09118627109395e-06,2.545593135546975e-06,0.02198788969932745,0.014730434292384112,0.008809954102616757,0.010840758652193472,0.008349431387614459,0.010840758652193472,0.013070471584796906,0.07957224227720872,0.1424314754937465,0.07678135236104329
13,0.022480076654270913,0.6289744384897252,0.8237228334570924,0.015176915825577453,0.02089750806893183,4.547535625976702e-06,2.273767812988351e-06,0.021583478102305282,0.014006185325949142,0.008712923338559145,0.010494126074869806,0.008276195333261663,0.010494126074869806,0.012318371617964105,0.07957224227720872,0.1424314754937465,0.07678135236104329
14,0.022444699652017636,0.6377505166456103,0.8066955537845691,0.01423202731651448,0.020926402667100774,4.045805303903227e-06,2.0229026519516137e-06,0.018556427365789812,0.013806074750997746,0.008891515394983193,0.011304801795631647,0.008664598184016844,0.011304801795631647,0.014950925099622944,0.07957224227720872,0.1424314754937465,0.07678135236104329
15,0.022094443925501157,0.6322158520730833,0.811887135108312,0.014517682039392335,0.02055667267147025,3.5983495705504477e-06,1.7991747852752239e-06,0.021187703028166045,0.013769179000519216,0.00884531878788645,0.01089194572220246,0.008533308738454556,0.01089194572220246,0.012634071561953297,0.07957224227720872,0.1424314754937465,0.07678135236104329
16,0.02278597866097698,0.6243839569700261,0.8322376849440237,0.015833830259604536,0.02116204948348847,3.216186271093948e-06,1.608093135546974e-06,0.01962082776784276,0.013658270210726187,0.008972227854731804,0.011391577398171648,0.008785319582481558,0.011391577398171648,0.013526076764759162,0.07957224227720872,0.1424314754937465,0.07678135236104329
17,0.022102887885315187,0.627255352990081,0.8268677733528117,0.015218856129649794,0.020515077286593925,2.9087255342936213e-06,1.4543627671468106e-06,0.019768061601401616,0.01392617328868558,0.009052574634552002,0.011578412901144475,0.009626867938398695,0.011578412901144475,0.013318659656721613,0.07957224227720872,0.1424314754937465,0.07678135236104329
18,0.02183410581346834,0.626428042848905,0.837224369092534,0.015437374212827612,0.02022501264946186,2.6835380638931746e-06,1.3417690319465873e-06,0.018781445008547355,0.013689212054790309,0.008767398045165464,0.01061057189751106,0.008538920238303641,0.01061057189751106,0.012291943806264064,0.07957224227720872,0.1424314754937465,0.07678135236104329
19,0.021896943536072893,0.6282760345687469,0.8308518351987004,0.014992044632284282,0.02031648941192543,2.546168722768234e-06,1.273084361384117e-06,0.019523326462755602,0.013920179228686417,0.008920581632992253,0.011227512237383053,0.008944380601557592,0.011227512237383053,0.013570542862314893,0.07957224227720872,0.1424314754937465,0.07678135236104329
20,0.02242396050375343,0.6225080269699296,0.8447052802269658,0.01577978533775119,0.020790266017381025,2.5e-06,1.25e-06,0.021180986795419205,0.01424201566260308,0.00893151291529648,0.011444882169598714,0.00912832263081024,0.011444882169598714,0.014317318483296296,0.07957224227720872,0.1424314754937465,0.07678135236104329
