epoch,train_g_loss,train_d_loss,train_adv_loss,train_feature_matching_loss,train_reconstruction_loss,lr_g,lr_d,val_raw_model_mae,val_raw_model_cloud_mae,val_model_mae,val_model_cloud_mae,val_rgb_mask_mae,val_band13_mask_mae,val_heavy_cloud_mae,val_t0_cloud_mae,val_cloud_fraction,val_heavy_fraction
0,,,,,,1e-05,5e-06,0.02280200373691817,0.013841110107023269,0.008885909124122312,0.011147152283228934,0.008918564000244563,0.011147152283228934,0.013635839679804833,0.07957224227720872,0.1424314754937465,0.07678135236104329
1,0.02187894056745184,0.6903953370638192,0.6961897442427775,0.006416837587191064,0.020861908977773663,9.953831277231769e-06,4.976915638615884e-06,0.024841891640486818,0.01528167407377623,0.008956444983292991,0.011589853122131899,0.009059495777667811,0.011589853122131899,0.015432069270426164,0.07957224227720872,0.1424314754937465,0.07678135236104329
2,0.022036786685930565,0.6785549667353431,0.7157043841046592,0.00947514555688637,0.020847325037417857,9.816461936106829e-06,4.908230968053414e-06,0.02611174415020893,0.015364499316395571,0.008974410622613505,0.011560435387461135,0.009162541488573575,0.011560435387461135,0.015122438553194313,0.07957224227720872,0.1424314754937465,0.07678135236104329
3,0.0224693612496291,0.6666848651754359,0.7453329452934364,0.011516713545764409,0.021148192664744176,9.591274465706381e-06,4.795637232853191e-06,0.02529266521257038,0.015026498527731746,0.00885445743915625,0.011254937591729686,0.008771609039589142,0.011254937591729686,0.014844661892351249,0.07957224227720872,0.1424314754937465,0.07678135236104329
4,0.022164233530929778,0.6652148800591627,0.755744367527465,0.011833605301944772,0.02081680887810459,9.283813728906056e-06,4.641906864453028e-06,0.02056291128974408,0.014305753788600365,0.008877406818404173,0.011322531752133122,0.0086857441929169,0.011322531752133122,0.014654656811414854,0.07957224227720872,0.1424314754937465,0.07678135236104329
5,0.02212497885435975,0.6605002142799398,0.7653040910760561,0.01232779413718769,0.020743284963828046,8.901650429449556e-06,4.450825214724778e-06,0.01997051283251494,0.014094498008489609,0.00886320166561442,0.011224050249438733,0.00898527271541146,0.011224050249438733,0.014363015789295669,0.07957224227720872,0.1424314754937465,0.07678135236104329
6,0.022424638317412853,0.6659165307258567,0.7539209214349588,0.01162993889132243,0.02108922039406025,8.454194696096778e-06,4.227097348048389e-06,0.019510082085616887,0.013824127624199415,0.008938410746244093,0.011393668847934654,0.009065428447987264,0.011393668847934654,0.01402638471968796,0.07957224227720872,0.1424314754937465,0.07678135236104329
7,0.021902140522191377,0.6591701617774864,0.7692793309688568,0.012399732650616594,0.020512874565611128,7.952464374023304e-06,3.976232187011652e-06,0.02014947108303507,0.01450182803091593,0.009023729711771011,0.011608936309736842,0.008944401536912968,0.011608936309736842,0.015032372553832829,0.07957224227720872,0.1424314754937465,0.07678135236104329
8,0.022183019356210327,0.6558238236854473,0.7670042741422852,0.012445326470090853,0.02079374878424763,7.4088137289060575e-06,3.7044068644530288e-06,0.020440281562817592,0.015254095701190332,0.008875499188434333,0.011280202384417256,0.008699630789730387,0.011280202384417256,0.014575665619264802,0.07957224227720872,0.1424314754937465,0.07678135236104329
9,0.021758070534512324,0.648711250629276,0.7833639288631579,0.013357587543093056,0.02030682725429263,6.83662924390087e-06,3.418314621950435e-06,0.02123137256906678,0.014927337906556204,0.009062328356473396,0.011841209838166833,0.008817287908944612,0.011841209838166833,0.015844461234772334,0.07957224227720872,0.1424314754937465,0.07678135236104329
10,0.022700063901235506,0.6473225240285198,0.783129344539096,0.013329192672244972,0.021250474857273122,6.250000000000003e-06,3.1250000000000014e-06,0.019435820227954537,0.013766923822307339,0.00895432970719412,0.011394556786399335,0.009458586515393108,0.011394556786399335,0.014264105464858205,0.07957224227720872,0.1424314754937465,0.07678135236104329
