epoch,train_loss,train_cloud_loss,train_heavy_loss,lr,val_model_mae,val_model_cloud_mae,val_model_light_cloud_mae,val_model_medium_cloud_mae,val_model_heavy_cloud_mae,val_raw_cloud_mae,val_t0_mae,val_t0_cloud_mae,val_t0_light_cloud_mae,val_t0_medium_cloud_mae,val_t0_heavy_cloud_mae,val_rmse,val_psnr,val_cloud_fraction,val_heavy_fraction
1,0.2569414577737916,0.14488909575447906,0.1639662939705886,9.991120277927223e-05,0.026178341824561357,0.062207756486410894,0.040558773131730654,0.0922282231816401,0.11548502241139827,0.18951032993694147,0.028667232293325167,0.07957224227720872,0.011420122881342346,0.027834962772127863,0.12568871049291414,0.05265917062448958,26.45444170633952,0.1424314754937465,0.07678135236104329
2,0.07893481127878961,0.04403314386824301,0.04741396226988096,9.964516155915151e-05,0.013521586001540223,0.02318281849147752,0.020082025808126975,0.03350891824811697,0.0329741893498146,0.071922970819287,0.028667232293325167,0.07957224227720872,0.011420122881342346,0.027834962772127863,0.12568871049291414,0.021359193429816514,33.646297891934715,0.1424314754937465,0.07678135236104329
3,0.04773775735035694,0.02647181741000774,0.02841155819623964,9.920292628279099e-05,0.011816734962242966,0.019147255981806666,0.014818467034880692,0.026109490465993684,0.027790369020532005,0.048513638243700065,0.028667232293325167,0.07957224227720872,0.011420122881342346,0.027834962772127863,0.12568871049291414,0.017924776999279857,35.19055791695913,0.1424314754937465,0.07678135236104329
4,0.04182264723446375,0.023482223812607117,0.024477376846334664,9.85862422507884e-05,0.010846840615461891,0.0170409467148905,0.01324978181704258,0.02554216468706727,0.027075523773775152,0.04063872694193075,0.028667232293325167,0.07957224227720872,0.011420122881342346,0.027834962772127863,0.12568871049291414,0.01630572966920833,35.91517114639282,0.1424314754937465,0.07678135236104329
5,0.036931692988825184,0.020603360320819775,0.022130956286370445,9.779754323328191e-05,0.009948735843257358,0.014473806940562403,0.010454709011052424,0.018324072007089853,0.020073864892449066,0.02805841205796848,0.028667232293325167,0.07957224227720872,0.011420122881342346,0.027834962772127863,0.12568871049291414,0.014896949753165245,36.771987438201904,0.1424314754937465,0.07678135236104329
6,0.034671569776643686,0.019428416596686777,0.0205064264810062,9.683994186497131e-05,0.010573079906559238,0.016186890095317114,0.01245731123102208,0.02473156371464332,0.02534193577973739,0.034529601728233196,0.028667232293325167,0.07957224227720872,0.011420122881342346,0.027834962772127863,0.12568871049291414,0.01591047291488697,36.15538505713145,0.1424314754937465,0.07678135236104329
7,0.03329826411694133,0.01876255367945608,0.019936616265719447,9.571721736097089e-05,0.010526219606011486,0.015750561375170946,0.011745505355065688,0.019439464357371133,0.021090143795489617,0.03167955237828816,0.028667232293325167,0.07957224227720872,0.011420122881342346,0.027834962772127863,0.12568871049291414,0.01548722570684428,36.506614883740745,0.1424314754937465,0.07678135236104329
8,0.03269770281622186,0.018351090316476377,0.019449706340916844,9.443380060197386e-05,0.010073794081108645,0.015287836286006495,0.010634518131458512,0.021246153861284256,0.022615191789910845,0.027754463624053944,0.028667232293325167,0.07957224227720872,0.011420122881342346,0.027834962772127863,0.12568871049291414,0.015340995974838734,36.522170742352806,0.1424314754937465,0.07678135236104329
9,0.031177129421848804,0.017578503629920306,0.018596992737002438,9.299475664759068e-05,0.009640205670924237,0.013559152381882692,0.010755042826834446,0.020178664727912594,0.019852992926683764,0.025485215204147,0.028667232293325167,0.07957224227720872,0.011420122881342346,0.027834962772127863,0.12568871049291414,0.014642893763569495,36.87602766354879,0.1424314754937465,0.07678135236104329
10,0.03108155334969827,0.01752333718710967,0.01850361095663781,9.140576474687264e-05,0.009653499747704094,0.013773642810216794,0.010632261459250003,0.020904190139845014,0.019904695927043973,0.02250533572320516,0.028667232293325167,0.07957224227720872,0.011420122881342346,0.027834962772127863,0.12568871049291414,0.0145296089273567,36.93006960550944,0.1424314754937465,0.07678135236104329
11,0.029620812289067544,0.016699806419637753,0.017347693615496002,8.967309592491052e-05,0.009793089159453908,0.014208007380754376,0.010287455593546232,0.01978515280643478,0.02109892524616874,0.022708856655905645,0.028667232293325167,0.07957224227720872,0.011420122881342346,0.027834962772127863,0.12568871049291414,0.014710680077162882,36.84932208061218,0.1424314754937465,0.07678135236104329
12,0.029789091223695625,0.016734709269561183,0.017483011304648244,8.780358823396352e-05,0.009398687126425406,0.012707304452002669,0.010153082461329177,0.01868426436946417,0.016305484889965992,0.022045713519522298,0.028667232293325167,0.07957224227720872,0.011420122881342346,0.027834962772127863,0.12568871049291414,0.014023218439736715,37.243116776148476,0.1424314754937465,0.07678135236104329
13,0.029083832169514306,0.016418825228659745,0.017048600250442785,8.5804619766791e-05,0.009425434128691753,0.012902699372110268,0.010107149903584892,0.018443359236698598,0.017551789870080742,0.02062651435456549,0.028667232293325167,0.07957224227720872,0.011420122881342346,0.027834962772127863,0.12568871049291414,0.014068182790651917,37.20846486091614,0.1424314754937465,0.07678135236104329
14,0.02836858559506557,0.016119020662396604,0.016406046498256426,8.368407953869104e-05,0.009409954199024165,0.012618244858458638,0.010455572482896969,0.018532504541023325,0.016122784227659198,0.019807485262087237,0.028667232293325167,0.07957224227720872,0.011420122881342346,0.027834962772127863,0.12568871049291414,0.014054540855189165,37.22309374809265,0.1424314754937465,0.07678135236104329
15,0.027028891270068318,0.015398866972342754,0.015618639012852023,8.145033635316131e-05,0.009403278604925921,0.012557774937401215,0.010516864655073732,0.018836229321702074,0.015717295534989757,0.020324560134516407,0.028667232293325167,0.07957224227720872,0.011420122881342346,0.027834962772127863,0.12568871049291414,0.013941007802107682,37.28494683901469,0.1424314754937465,0.07678135236104329
16,0.027567589041912772,0.015590747558841636,0.016177345299486962,7.911220577405486e-05,0.00955779904810091,0.013257110588407764,0.010279944661306217,0.018186982274831582,0.016790946398902197,0.01857670545966054,0.028667232293325167,0.07957224227720872,0.011420122881342346,0.027834962772127863,0.12568871049291414,0.014330413658171892,37.10810919602712,0.1424314754937465,0.07678135236104329
17,0.026771028712876916,0.015318906031704197,0.01578658265558867,7.66789153345772e-05,0.009318001267577833,0.012431662025240561,0.009874381930179274,0.017577203553325187,0.015465076425639183,0.018372906488366425,0.028667232293325167,0.07957224227720872,0.011420122881342346,0.027834962772127863,0.12568871049291414,0.01386895019095391,37.34479562441508,0.1424314754937465,0.07678135236104329
18,0.025538281165305914,0.014499533423077082,0.014942863734177081,7.416006812042828e-05,0.009120682341745123,0.01195702656211021,0.009934553517571961,0.017827531788498163,0.015248765257875557,0.01874052603185798,0.028667232293325167,0.07957224227720872,0.011420122881342346,0.027834962772127863,0.12568871049291414,0.013760114554315805,37.3963360786438,0.1424314754937465,0.07678135236104329
19,0.025483937692721764,0.014372591987921624,0.015001843134086812,7.156560487081053e-05,0.00930811234866269,0.012502428027801216,0.010104468218438948,0.018334249713613342,0.015855117144225085,0.017633398141091067,0.028667232293325167,0.07957224227720872,0.011420122881342346,0.027834962772127863,0.12568871049291414,0.014122143931065997,37.232975244522095,0.1424314754937465,0.07678135236104329
20,0.02509668723238671,0.014301577686031427,0.014410595398658188,6.890576474687264e-05,0.009241405370024344,0.012351859574361393,0.009962423432928821,0.01806127611780539,0.014815038100451879,0.018220959813334048,0.028667232293325167,0.07957224227720872,0.011420122881342346,0.027834962772127863,0.12568871049291414,0.013981265559171637,37.29441102345785,0.1424314754937465,0.07678135236104329
21,0.024883954518979106,0.014175827806563271,0.014070059907680843,6.619104492241848e-05,0.00944245069210107,0.012791750322018439,0.01077503627554203,0.01951409534861644,0.01727143679138111,0.02118632533044244,0.028667232293325167,0.07957224227720872,0.011420122881342346,0.027834962772127863,0.12568871049291414,0.014368382263152549,37.0422457853953,0.1424314754937465,0.07678135236104329
22,0.02457470924491645,0.013958140510415737,0.014307700141822957,6.343215915635763e-05,0.00924676819704473,0.01217278434584538,0.010145252357081821,0.018161022220738232,0.014758915387336974,0.01684244890930131,0.028667232293325167,0.07957224227720872,0.011420122881342346,0.027834962772127863,0.12568871049291414,0.013883724440044412,37.347858587900795,0.1424314754937465,0.07678135236104329
23,0.024311116304791842,0.013736716548616338,0.014072522095375462,6.063999551039372e-05,0.009400700277183205,0.012682615226367489,0.010275033341410259,0.018751104886177927,0.015001185865991789,0.018890691600972787,0.028667232293325167,0.07957224227720872,0.011420122881342346,0.027834962772127863,0.12568871049291414,0.014138564855481187,37.20059068997701,0.1424314754937465,0.07678135236104329
24,0.02359555680959602,0.013398169632030962,0.013654240431302847,5.7825573378819125e-05,0.009173133517227447,0.011911681436079865,0.010087018182578808,0.018254659972929705,0.014489338166363861,0.016687764718274895,0.028667232293325167,0.07957224227720872,0.011420122881342346,0.027834962772127863,0.12568871049291414,0.013711339231425276,37.42892177899679,0.1424314754937465,0.07678135236104329
25,0.023329465574837133,0.01335142023890512,0.013458155604287944,5.5000000000000016e-05,0.009293898193088049,0.012472661687449241,0.010333240953817343,0.019139352574711666,0.0164740269942938,0.019373826798982918,0.028667232293325167,0.07957224227720872,0.011420122881342346,0.027834962772127863,0.12568871049291414,0.014119376991099367,37.19096350669861,0.1424314754937465,0.07678135236104329
26,0.023729498373237828,0.013550919346016599,0.0136845910607614,5.217442662118091e-05,0.009359189619620642,0.012641768533891687,0.010222561317884052,0.018711592090160895,0.016384464273553178,0.01675262064478981,0.028667232293325167,0.07957224227720872,0.011420122881342346,0.027834962772127863,0.12568871049291414,0.014009410457219929,37.254985332489014,0.1424314754937465,0.07678135236104329
27,0.02257646602326228,0.01296703164492404,0.012830276176828193,4.936000448960633e-05,0.009098184071869278,0.011849229369545355,0.009982292831409723,0.018241000769194216,0.014952533853078343,0.016943042195634916,0.028667232293325167,0.07957224227720872,0.011420122881342346,0.027834962772127863,0.12568871049291414,0.013797692799319824,37.3895255724589,0.1424314754937465,0.07678135236104329
28,0.022662127174650475,0.012954317833039871,0.013083074206709474,4.6567840843642404e-05,0.00907155527966097,0.011809585538382331,0.009977473663942268,0.018497222607644897,0.014896988008252305,0.016045085785056774,0.028667232293325167,0.07957224227720872,0.011420122881342346,0.027834962772127863,0.12568871049291414,0.013673881844927868,37.446670134862266,0.1424314754937465,0.07678135236104329
29,0.02317216138787141,0.013358763901730223,0.013424901885324894,4.380895507758155e-05,0.009034761188862225,0.011807053165587908,0.00974127038110358,0.018271981573586043,0.01580008428098391,0.016489493107656017,0.028667232293325167,0.07957224227720872,0.011420122881342346,0.027834962772127863,0.12568871049291414,0.013703110123363635,37.43318319320679,0.1424314754937465,0.07678135236104329
30,0.023145857570246637,0.013172640787767401,0.013320295446343758,4.109423525312739e-05,0.009091629200459769,0.011807919450802729,0.009977408354946723,0.017891743356206764,0.014814145589733253,0.015176996637213355,0.028667232293325167,0.07957224227720872,0.011420122881342346,0.027834962772127863,0.12568871049291414,0.013711637487479797,37.43048723538717,0.1424314754937465,0.07678135236104329
31,0.02200761797090915,0.012474977777552946,0.01280915650446938,3.843439512918952e-05,0.009092623610437537,0.01214705750074548,0.009792282488585139,0.0188454425369855,0.017090743842899152,0.017913687081697088,0.028667232293325167,0.07957224227720872,0.011420122881342346,0.027834962772127863,0.12568871049291414,0.01385715112943823,37.344894091288246,0.1424314754937465,0.07678135236104329
32,0.022101488284533843,0.012626534039251661,0.012580543258688218,3.5839931879571745e-05,0.009064689123382172,0.011904010665602982,0.009796665263517449,0.018277627483864006,0.015489685703473895,0.016393220469277974,0.028667232293325167,0.07957224227720872,0.011420122881342346,0.027834962772127863,0.12568871049291414,0.013732081511989236,37.41036566098531,0.1424314754937465,0.07678135236104329
33,0.02191379660265132,0.012595241978488048,0.012336764184510685,3.332108466542282e-05,0.009063550649443641,0.011691220560654378,0.010004417573024208,0.017633956061520923,0.01423251923457112,0.015408792183734477,0.028667232293325167,0.07957224227720872,0.011420122881342346,0.027834962772127863,0.12568871049291414,0.013583797592824945,37.50308418273926,0.1424314754937465,0.07678135236104329
