epoch,train_loss,train_cloud_loss,train_heavy_loss,train_recon_loss,train_adv_loss,lr,val_model_mae,val_model_cloud_mae,val_model_light_cloud_mae,val_model_medium_cloud_mae,val_model_heavy_cloud_mae,val_raw_cloud_mae,val_t0_mae,val_t0_cloud_mae,val_t0_light_cloud_mae,val_t0_medium_cloud_mae,val_t0_heavy_cloud_mae,val_rmse,val_psnr,val_cloud_fraction,val_heavy_fraction
1,0.3812722181125234,0.15028658693578714,0.1625251647492405,0.25621876085642725,2.5010691098092743,0.0001,0.023213399690575898,0.05317546823062003,0.022717223910149187,0.08022388458872835,0.09817057613121427,0.16128395047659674,0.028667232293325167,0.07957224260705213,0.009684682940132916,0.027834962810932968,0.12568871081685243,0.04208856440770129,28.086498339970905,0.1424314754937465,0.07678135236104329
2,0.20879726090546077,0.31903352435134974,0.04896893892146181,0.08183455265437563,2.5392541106460462,9.996530663083254e-05,0.015353635205732038,0.02741808776045218,0.01606468592459957,0.03859150231194993,0.03645961569703143,0.09118501624713342,0.028667232293325167,0.07957224260705213,0.009684682940132916,0.027834962810932968,0.12568871081685243,0.02393130843605225,32.824156522750854,0.1424314754937465,0.07678135236104329
3,0.1737927397528741,0.49198808790242765,0.04016629763646051,0.06621185543190222,2.1516176400570353,9.986128001799077e-05,0.011671646333221966,0.019174623186700046,0.010814929943686971,0.02484168391674757,0.027420805078809677,0.04525543275910119,0.028667232293325167,0.07957224260705213,0.009684682940132916,0.027834962810932968,0.12568871081685243,0.01760052239599948,35.357933481534324,0.1424314754937465,0.07678135236104329
4,0.16265594821500903,0.5975403824995738,0.03935549904417712,0.06523012802063022,1.948516365897376,9.96880805629717e-05,0.012327375588938594,0.022128370027833928,0.010706212866352871,0.024678811760774504,0.031562931390236255,0.045499056849318244,0.028667232293325167,0.07957224260705213,0.009684682940132916,0.027834962810932968,0.12568871081685243,0.01950610151592021,34.682684580485024,0.1424314754937465,0.07678135236104329
5,0.14974670678687593,0.5510413791441048,0.03594754954004505,0.05888321755628567,1.817269746272359,9.94459753267812e-05,0.011627287914355596,0.019250437888937693,0.010842018159261594,0.023132702490935724,0.02629346560443873,0.04277892645526057,0.028667232293325167,0.07957224260705213,0.009684682940132916,0.027834962810932968,0.12568871081685243,0.017587911473431934,35.439354499181114,0.1424314754937465,0.07678135236104329
6,0.1420614662541387,0.580144799411452,0.03322533376922365,0.05485100737617662,1.7442091423533082,9.913533761814537e-05,0.012225579072643692,0.021680557421253372,0.010697341397947943,0.02645069904004534,0.03413649041043675,0.04601178539451212,0.028667232293325167,0.07957224260705213,0.009684682940132916,0.027834962810932968,0.12568871081685243,0.0192152964300476,34.87264907360077,0.1424314754937465,0.07678135236104329
7,0.14166939729087366,0.5449715197998254,0.03229837035663271,0.05275033902823149,1.7783811364594537,9.875664641789545e-05,0.010819092577245707,0.017279324063565582,0.009600759871924916,0.019504494247181963,0.02515913776891387,0.036582576227374375,0.028667232293325167,0.07957224260705213,0.009684682940132916,0.027834962810932968,0.12568871081685243,0.016748827959721286,35.93857685724894,0.1424314754937465,0.07678135236104329
8,0.13776439919214076,0.5847700643353164,0.03139971582277212,0.05179527060924253,1.7193825490539894,9.831048564041413e-05,0.01088043839748328,0.017332834696086746,0.009905103943310678,0.022132534223298233,0.02769514284623058,0.03812850398632387,0.028667232293325167,0.07957224260705213,0.009684682940132916,0.027834962810932968,0.12568871081685243,0.01665476036335652,35.85358782609304,0.1424314754937465,0.07678135236104329
9,0.13100505560093248,0.5820822649790595,0.029330997337334946,0.048658709910038546,1.6469268791358143,9.779754323328192e-05,0.010994407455048835,0.018179121951106936,0.010014168685302138,0.02533798534811164,0.02933260053396225,0.037559924608406924,0.028667232293325167,0.07957224260705213,0.009684682940132916,0.027834962810932968,0.12568871081685243,0.017117645552692313,35.59114754199982,0.1424314754937465,0.07678135236104329
10,0.12412813658981274,0.6207651924535943,0.028994839182511594,0.04802822362883793,1.5219982307268463,9.72186101165118e-05,0.01081282402932023,0.017676750392032165,0.009545680067579573,0.022833397379145026,0.027736770151102024,0.033412435092031956,0.028667232293325167,0.07957224260705213,0.009684682940132916,0.027834962810932968,0.12568871081685243,0.017106944404076785,35.68706250190735,0.1424314754937465,0.07678135236104329
11,0.12628462978561097,0.5959249145719999,0.028767793305936113,0.04801276830645899,1.5654371999844443,9.657457896300791e-05,0.011735532190262651,0.020648483963062365,0.010815551863440001,0.02805363868052761,0.03352108666592318,0.04740122220634172,0.028667232293325167,0.07957224260705213,0.009684682940132916,0.027834962810932968,0.12568871081685243,0.01798965820732216,35.11974183718363,0.1424314754937465,0.07678135236104329
12,0.11160209855491605,0.6239656654458182,0.027907175603710737,0.04679641197920622,1.2961137156623106,9.586644282212866e-05,0.010753342678071931,0.017498243774753064,0.009439800264469037,0.02029665233567357,0.0269931619177046,0.036856339196674526,0.028667232293325167,0.07957224260705213,0.009684682940132916,0.027834962810932968,0.12568871081685243,0.016840381450795878,35.79747744401296,0.1424314754937465,0.07678135236104329
13,0.11543864498283558,0.6101493853881644,0.026211331773083657,0.04395520892527808,1.4296686972375028,9.509529358847655e-05,0.010383184194021547,0.016174254269571975,0.009232952036351586,0.020809681542838614,0.023740386630853882,0.032691806205548346,0.028667232293325167,0.07957224260705213,0.009684682940132916,0.027834962810932968,0.12568871081685243,0.01601044140988961,36.184908866882324,0.1424314754937465,0.07678135236104329
14,0.12202851002318009,0.5488687251248242,0.02512151643653245,0.04306875602196669,1.5791950484466117,9.426232031827588e-05,0.010478035411021361,0.016083141245568793,0.009771981994466236,0.02174445598696669,0.02365421734588302,0.0338704731548205,0.028667232293325167,0.07957224260705213,0.009684682940132916,0.027834962810932968,0.12568871081685243,0.016057023642739903,36.117885073026024,0.1424314754937465,0.07678135236104329
15,0.12465526743714388,0.5900624431815231,0.02473060932121977,0.041790582887188066,1.657293657005842,9.336880739593415e-05,0.010525829828111455,0.01628224631228174,0.00958680251884895,0.020813019092505176,0.025130420720771603,0.03602723191337039,0.028667232293325167,0.07957224260705213,0.009684682940132916,0.027834962810932968,0.12568871081685243,0.015937041025608778,36.16963827610016,0.1424314754937465,0.07678135236104329
16,0.11614937839234092,0.6124094917419521,0.026002228662643272,0.04364124336764993,1.4501626736212831,9.241613255361455e-05,0.010469964171837395,0.016203984443563968,0.009669117610125491,0.02103945197692762,0.0243227730869599,0.0357322773973768,0.028667232293325167,0.07957224260705213,0.009684682940132916,0.027834962810932968,0.12568871081685243,0.015824288711883128,36.24798289934794,0.1424314754937465,0.07678135236104329
17,0.12633196735502375,0.5611896772752516,0.024195292084186804,0.040683816208911594,1.7129629950795788,9.140576474687264e-05,0.010082370805321261,0.015213310718536377,0.009050908042506004,0.019406996803202976,0.02277516642504412,0.034330245767099164,0.028667232293325167,0.07957224260705213,0.009684682940132916,0.027834962810932968,0.12568871081685243,0.015186519032189002,36.64703416824341,0.1424314754937465,0.07678135236104329
18,0.12666624327539466,0.5755670643993653,0.023398530422127806,0.03955925313251404,1.7421397792350035,9.033926188963352e-05,0.009972309955628589,0.014350660484827435,0.009330677343920494,0.018503622287729133,0.020697691174143034,0.030095312880196918,0.028667232293325167,0.07957224260705213,0.009684682940132916,0.027834962810932968,0.12568871081685243,0.014927586307749152,36.743535121281944,0.1424314754937465,0.07678135236104329
19,0.1343960551166674,0.5899306838497674,0.024732170496766532,0.041661664297862444,1.8546877835469786,8.92182684520014e-05,0.010135148370560879,0.015395704666540647,0.009227364838200932,0.021076426356254768,0.024234404625452084,0.03422724533205231,0.028667232293325167,0.07957224260705213,0.009684682940132916,0.027834962810932968,0.12568871081685243,0.015549882683747759,36.367555936177574,0.1424314754937465,0.07678135236104329
20,0.1478466137923533,0.552150071845972,0.023202163578389445,0.03972856796948084,2.1623608819791116,8.804451292460586e-05,0.010275865972895796,0.015657345570313435,0.009390091717553636,0.02047314717977618,0.024288871669736894,0.03400322647454838,0.028667232293325167,0.07957224260705213,0.009684682940132916,0.027834962810932968,0.12568871081685243,0.015743026684504002,36.280394752820335,0.1424314754937465,0.07678135236104329
21,0.161387243468198,0.594610111186436,0.023477267615817254,0.040548013976755705,2.416784555913182,8.681980515339465e-05,0.011108398757642135,0.01727292048356806,0.010813967072560141,0.024102019572940964,0.024538549088427553,0.04812150762882084,0.028667232293325167,0.07957224260705213,0.009684682940132916,0.027834962810932968,0.12568871081685243,0.01719957378615315,35.48743033409119,0.1424314754937465,0.07678135236104329
