output_kind,model_key,metric,n,mean,median,std,min,q1,q3,max,ci95_low,ci95_high
blended,baseline,rgb_global_mae,192,0.007019473416245131,0.00614939293512385,0.004186543345333343,0.0017992957765689,0.00463153482630925,0.0082016236955458,0.0320399318576771,0.006427283444031582,0.0076116633884586804
blended,baseline,rgb_mask_mae,141,0.015088523987162308,0.0111992886112559,0.013453209977379274,0.0031575853074038,0.0088122193428574,0.0153757929336333,0.0919254777332147,0.01286791324827791,0.017309134726046706
blended,baseline,band13_global_mae,192,0.008912128344393512,0.008016655195566501,0.004196399688677643,0.0023577498827791,0.006123881939392525,0.010671538112453274,0.0293956323123981,0.008318544184371614,0.00950571250441541
blended,baseline,band13_mask_mae,141,0.01855064027582158,0.0157127861955781,0.011492963046250524,0.0049629898998742,0.01139413414523,0.0214925631889345,0.0829280395178007,0.01665359137782489,0.020447689173818274
blended,baseline,rgb_global_psnr,192,42.44406528917684,42.60091801612546,4.46644667227327,26.65032006675408,39.89213476792331,45.043172888926485,53.87880633992204,41.81228276298011,43.07584781537357
blended,baseline,rgb_mask_psnr,141,36.29684850529346,37.26985411274751,4.496560001860185,20.57187772891901,34.03670160028214,38.8504329702612,47.567831105539526,35.554638323117004,37.03905868746992
blended,baseline,band13_global_psnr,192,38.87575398823335,38.84409187707409,4.039273924872988,27.309400876773864,36.09893767499457,41.752602429103234,48.60394140150662,38.30439539570862,39.44711258075808
blended,baseline,band13_mask_psnr,141,33.55132672723306,34.0093947840461,4.047750139589238,21.01927503544577,31.156865320446823,36.37972737657503,43.96409291488554,32.8831978982468,34.21945555621932
blended,baseline,rgb_global_ssim_standard,192,0.9836021702470946,0.9911737182838047,0.022269023340323945,0.8426191754408171,0.9829016267370275,0.9957520782458918,0.9990110933903336,0.9804521987251638,0.9867521417690255
blended,baseline,rgb_global_rmse,192,0.008707090840425253,0.00741231930938855,0.005601271796574183,0.0020232972115874,0.0055955958462229,0.010125114239885224,0.0465033239819245,0.007914786374433944,0.009499395306416561
blended,baseline,band13_global_rmse,192,0.012667290161024964,0.0114234035181527,0.00608973860956497,0.0037136667557196,0.008172931799537049,0.015671097342265475,0.0431052289505459,0.011805891665770899,0.013528688656279028
blended,baseline,rgb_global_pearson,192,0.9748262621108346,0.9886253586175008,0.037687837835526275,0.7279903991624066,0.9746746898855138,0.9950966756385567,0.998917661815602,0.9694952866975531,0.980157237524116
blended,baseline,band13_global_pearson,192,0.9850522296988958,0.9906157159794247,0.017886193224305822,0.8980720250829141,0.9813842386960709,0.9960944706813439,0.9990412059794604,0.9825222130730523,0.9875822463247393
blended,baseline,rgb_global_mse,192,0.00010702426911262355,5.494248272656114e-05,0.00020396599131722762,4.0937316064173475e-06,3.131140880438228e-05,0.00010252110094930328,0.002162559141367834,7.817311321445364e-05,0.00013587542501079347
blended,baseline,band13_global_mse,192,0.00019735200575052604,0.00013049421515793708,0.0002120992604800934,1.3791320772536941e-05,6.679926244495589e-05,0.0002456362312851886,0.0018580607628789806,0.00016735039229291593,0.00022735361920813614
blended,baseline,rgb_mask_mse,141,0.0005231124570375925,0.0001875057493530733,0.0012133529300792738,1.750720791517369e-05,0.00013030368656030006,0.0003947570001160112,0.008766217203439362,0.0003228342668419943,0.0007233906472331907
blended,baseline,rgb_mask_rmse,141,0.018065210970561595,0.013693273872711131,0.014077146108235097,0.0041841615546216295,0.011415064019106509,0.019868492648311576,0.093628079139964,0.01574161222547748,0.02038880971564571
blended,baseline,band13_mask_mse,141,0.0007322728896361749,0.00039724690440093595,0.0010669094160248491,4.014123301192217e-05,0.00023015862923374297,0.0007661494037912571,0.007908106264130512,0.0005561669260315551,0.0009083788532407947
blended,baseline,band13_mask_rmse,141,0.02362516073405662,0.0199310537704592,0.013242674109427218,0.0063357109318467305,0.015170979837628912,0.02767940396380054,0.08892753377964843,0.02143930141955947,0.02581102004855377
blended,conditional,rgb_global_mae,192,0.006834659339211476,0.0060529715891135,0.004118682363208037,0.0017933637158004,0.0046098534588878,0.007457798759295024,0.0306829167866832,0.006252068358290818,0.007417250320132133
blended,conditional,rgb_mask_mae,141,0.013958937728815308,0.0103016149702567,0.012712750041372433,0.0038574385544299,0.0079869461230922,0.0141865647501415,0.0763603291163841,0.011860548622416776,0.01605732683521384
blended,conditional,band13_global_mae,192,0.00872130995505071,0.0078158882249829,0.004108010955731038,0.0023526146022937,0.006080603631558475,0.0102206534148721,0.0287784544446067,0.008140228453425024,0.009302391456676396
blended,conditional,band13_mask_mae,141,0.01711255388365553,0.014774435500449,0.010930907078355605,0.003715906429241,0.0103741244276732,0.0203854502861542,0.0776568372714352,0.015308278942228321,0.01891682882508274
blended,conditional,rgb_global_psnr,192,42.661812060344566,42.71467812856364,4.388298594568432,26.72498329559288,40.50698221223989,45.02458264381672,53.961792983702985,42.04108364350422,43.28254047718491
