output_kind,metric,metric_group,model_key,model_name,mean,median,std,q1,q3,n_samples,direction,rank
blended,rgb_global_rmse,diagnostic,baseline,Baseline Multi-Temporal ResUNet,0.0087070908404252,0.0074123193093885,0.0056012717965741,0.0055955958462229,0.0101251142398852,192,lower_is_better,2
blended,rgb_global_rmse,diagnostic,gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,0.0098004988367856,0.0075130801982945,0.0077011169641649,0.0059482125321961,0.0103731977209444,192,lower_is_better,3
blended,rgb_global_rmse,diagnostic,conditional,GAN Multi-Temporal ResUNet dengan Conditional Patch Discriminator,0.008475012403003,0.0073158800753293,0.0055396475824328,0.0056075234609612,0.0094330232291288,192,lower_is_better,1
blended,band13_global_rmse,diagnostic,baseline,Baseline Multi-Temporal ResUNet,0.0126672901610249,0.0114234035181527,0.0060897386095649,0.008172931799537,0.0156710973422654,192,lower_is_better,2
blended,band13_global_rmse,diagnostic,gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,0.0138677134643906,0.0123554246646317,0.0078337003539374,0.0082657825529251,0.0171259051013893,192,lower_is_better,3
blended,band13_global_rmse,diagnostic,conditional,GAN Multi-Temporal ResUNet dengan Conditional Patch Discriminator,0.0123721960450886,0.0109650419343332,0.0059424760841359,0.0079847813910236,0.015295982699103,192,lower_is_better,1
blended,rgb_global_pearson,diagnostic,baseline,Baseline Multi-Temporal ResUNet,0.9748262621108346,0.9886253586175008,0.0376878378355262,0.9746746898855138,0.9950966756385567,192,higher_is_better,2
blended,rgb_global_pearson,diagnostic,gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,0.962482910254197,0.9851041306107025,0.0633678211890985,0.9648875299036472,0.9931600115576124,192,higher_is_better,3
blended,rgb_global_pearson,diagnostic,conditional,GAN Multi-Temporal ResUNet dengan Conditional Patch Discriminator,0.9759866446132092,0.989169638046069,0.0374648997580198,0.9757214614112506,0.995333361500384,192,higher_is_better,1
blended,band13_global_pearson,diagnostic,baseline,Baseline Multi-Temporal ResUNet,0.9850522296988958,0.9906157159794248,0.0178861932243058,0.9813842386960708,0.996094470681344,192,higher_is_better,2
blended,band13_global_pearson,diagnostic,gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,0.9810583969286798,0.9883448269948586,0.0261359965901778,0.9779408581781118,0.995713288151752,192,higher_is_better,3
blended,band13_global_pearson,diagnostic,conditional,GAN Multi-Temporal ResUNet dengan Conditional Patch Discriminator,0.9854908975409024,0.9912070955753502,0.0176044649395984,0.98202422224409,0.9962437222238484,192,higher_is_better,1
raw,rgb_mask_mae,raw_diagnostic,baseline,Baseline Multi-Temporal ResUNet,0.0175040489516693,0.0130809082713707,0.0148748462234566,0.0086239845116106,0.021093158849648,141,lower_is_better,1
raw,rgb_mask_mae,raw_diagnostic,gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,0.0248798868253232,0.0210485156802904,0.0145636514569973,0.0152615856479954,0.029440289077995,141,lower_is_better,3
raw,rgb_mask_mae,raw_diagnostic,conditional,GAN Multi-Temporal ResUNet dengan Conditional Patch Discriminator,0.017788042796718,0.0132026568766765,0.0136276645577797,0.0095065834395813,0.0217762756091292,141,lower_is_better,2
raw,band13_mask_mae,raw_diagnostic,baseline,Baseline Multi-Temporal ResUNet,0.0201628078403284,0.0148127430156592,0.0154490326301351,0.0108490039802764,0.0243437567516845,141,lower_is_better,1
raw,band13_mask_mae,raw_diagnostic,gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,0.0267958721606528,0.0241540845470035,0.0127882206937449,0.0180013824600535,0.0330594661408799,141,lower_is_better,3
raw,band13_mask_mae,raw_diagnostic,conditional,GAN Multi-Temporal ResUNet dengan Conditional Patch Discriminator,0.0207141868719158,0.016332713585667,0.0148516822185046,0.0118671445204394,0.0261729471086978,141,lower_is_better,2
raw,rgb_global_mae,raw_diagnostic,baseline,Baseline Multi-Temporal ResUNet,0.0231301316763584,0.0180932146011324,0.0163979206913952,0.0125473577836458,0.0250740326119303,192,lower_is_better,2
raw,rgb_global_mae,raw_diagnostic,gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,0.0525493446137695,0.0344297880439843,0.0434784867039248,0.0213836850955098,0.0644834733830895,192,lower_is_better,3
raw,rgb_global_mae,raw_diagnostic,conditional,GAN Multi-Temporal ResUNet dengan Conditional Patch Discriminator,0.0188435227864067,0.0164760976636035,0.0093344437559969,0.0133030093818101,0.0232348508409334,192,lower_is_better,1
raw,band13_global_mae,raw_diagnostic,baseline,Baseline Multi-Temporal ResUNet,0.0224370339982641,0.0201522721090669,0.0119127592656646,0.0131970842265274,0.0296417910596129,192,lower_is_better,2
raw,band13_global_mae,raw_diagnostic,gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,0.0559504304897025,0.0473862208148442,0.0330059973593045,0.0337480495641916,0.0724368539372676,192,lower_is_better,3
raw,band13_global_mae,raw_diagnostic,conditional,GAN Multi-Temporal ResUNet dengan Conditional Patch Discriminator,0.020947508489476,0.0199489194378359,0.0091821726989833,0.0139050620818721,0.0278826799186545,192,lower_is_better,1
raw,rgb_global_psnr,raw_diagnostic,baseline,Baseline Multi-Temporal ResUNet,32.170397022646014,32.459222468448104,4.876083293409736,29.498289757789067,35.43853996442742,192,higher_is_better,2
raw,rgb_global_psnr,raw_diagnostic,gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,25.923703164136334,26.68752052961885,6.154905978355226,21.19416386360789,31.086569003234903,192,higher_is_better,3
raw,rgb_global_psnr,raw_diagnostic,conditional,GAN Multi-Temporal ResUNet dengan Conditional Patch Discriminator,33.31896236753943,33.29074262738645,3.738022734045136,30.962964027254117,35.36197765580591,192,higher_is_better,1
raw,rgb_mask_psnr,raw_diagnostic,baseline,Baseline Multi-Temporal ResUNet,35.04148430433274,35.403788045606504,5.443752219307949,31.323934960958752,38.65653550409653,141,higher_is_better,1
raw,rgb_mask_psnr,raw_diagnostic,gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,31.3154892852188,31.40321499629516,4.201607631726104,28.831897982755773,34.444895880963536,141,higher_is_better,3
raw,rgb_mask_psnr,raw_diagnostic,conditional,GAN Multi-Temporal ResUNet dengan Conditional Patch Discriminator,34.8164884275743,35.310292757989814,5.268671423477106,31.624206775664344,38.24600790415305,141,higher_is_better,2
raw,band13_global_psnr,raw_diagnostic,baseline,Baseline Multi-Temporal ResUNet,31.68784778955265,31.234519692385227,4.430118475589038,28.298036014101022,35.01056396662794,192,higher_is_better,2
raw,band13_global_psnr,raw_diagnostic,gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,23.357781797993017,22.584340039849916,4.967878562311616,19.853904073571503,26.092415615278075,192,higher_is_better,3
raw,band13_global_psnr,raw_diagnostic,conditional,GAN Multi-Temporal ResUNet dengan Conditional Patch Discriminator,32.04175593882041,31.369681585574497,4.215294319470788,28.83614688115517,34.74307439873378,192,higher_is_better,1
raw,band13_mask_psnr,raw_diagnostic,baseline,Baseline Multi-Temporal ResUNet,33.43316660512911,33.99384917696713,5.344206026212857,29.71140208446192,36.8549600394581,141,higher_is_better,1
raw,band13_mask_psnr,raw_diagnostic,gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,29.90669402264224,30.06604617513204,3.7091630411381913,27.530310120169403,32.5053688077796,141,higher_is_better,3
raw,band13_mask_psnr,raw_diagnostic,conditional,GAN Multi-Temporal ResUNet dengan Conditional Patch Discriminator,33.13665590377022,33.26675123073637,5.418364467174012,29.856627785510028,36.37679670423675,141,higher_is_better,2
