model_key,model_label,output_kind,metric,mean,median,std,q1,q3,n_total_samples,n_mask_valid_samples
baseline,ResUNet,blended,rgb_global_mae,0.00701947341625,0.00614939293512,0.00418654334533,0.00463153482631,0.00820162369555,192,141
baseline,ResUNet,raw,rgb_global_mae,0.0231301316764,0.0180932146011,0.0163979206914,0.0125473577836,0.0250740326119,192,141
gan_resnet,GAN ResNet-like,blended,rgb_global_mae,0.00766016064759,0.00609329807333,0.00566322123007,0.00472700843314,0.00827864870555,192,141
gan_resnet,GAN ResNet-like,raw,rgb_global_mae,0.0525493446138,0.034429788044,0.0434784867039,0.0213836850955,0.0644834733831,192,141
conditional,Conditional Patch GAN,blended,rgb_global_mae,0.00683465933921,0.00605297158911,0.00411868236321,0.00460985345889,0.00745779875929,192,141
conditional,Conditional Patch GAN,raw,rgb_global_mae,0.0188435227864,0.0164760976636,0.009334443756,0.0133030093818,0.0232348508409,192,141
baseline,ResUNet,blended,rgb_global_pearson,0.974826262111,0.988625358618,0.0376878378355,0.974674689886,0.995096675639,192,141
baseline,ResUNet,raw,rgb_global_pearson,0.746665041327,0.829218013293,0.209118940029,0.620235854896,0.903607136822,192,141
gan_resnet,GAN ResNet-like,blended,rgb_global_pearson,0.962482910254,0.985104130611,0.0633678211891,0.964887529904,0.993160011558,192,141
gan_resnet,GAN ResNet-like,raw,rgb_global_pearson,0.421691801568,0.394621245382,0.351034520693,0.197272470553,0.728720856992,192,141
conditional,Conditional Patch GAN,blended,rgb_global_pearson,0.975986644613,0.989169638046,0.037464899758,0.975721461411,0.9953333615,192,141
conditional,Conditional Patch GAN,raw,rgb_global_pearson,0.823028778037,0.86635094472,0.131947664472,0.753939911974,0.91413767838,192,141
baseline,ResUNet,blended,rgb_global_psnr,42.4440652892,42.6009180161,4.46644667227,39.8921347679,45.0431728889,192,141
baseline,ResUNet,raw,rgb_global_psnr,32.1703970226,32.4592224684,4.87608329341,29.4982897578,35.4385399644,192,141
gan_resnet,GAN ResNet-like,blended,rgb_global_psnr,41.8298447746,42.4836401036,5.00468944654,39.6822304034,44.5122727905,192,141
gan_resnet,GAN ResNet-like,raw,rgb_global_psnr,25.9237031641,26.6875205296,6.15490597836,21.1941638636,31.0865690032,192,141
conditional,Conditional Patch GAN,blended,rgb_global_psnr,42.6618120603,42.7146781286,4.38829859457,40.5069822122,45.0245826438,192,141
conditional,Conditional Patch GAN,raw,rgb_global_psnr,33.3189623675,33.2907426274,3.73802273405,30.9629640273,35.3619776558,192,141
baseline,ResUNet,blended,rgb_global_rmse,0.00870709084043,0.00741231930939,0.00560127179657,0.00559559584622,0.0101251142399,192,141
baseline,ResUNet,raw,rgb_global_rmse,0.0289111589406,0.023825344338,0.0174868812893,0.0169072512406,0.0335032932692,192,141
gan_resnet,GAN ResNet-like,blended,rgb_global_rmse,0.00980049883679,0.00751308019829,0.00770111696416,0.0059482125322,0.0103731977209,192,141
gan_resnet,GAN ResNet-like,raw,rgb_global_rmse,0.0646279385592,0.0463048608486,0.0461693534553,0.0279043349827,0.0872345937728,192,141
