metric,n_pairs,statistic,p_value,significant_0_05,mean_rank_baseline,mean_rank_gan_resnet,mean_rank_conditional
rgb_global_mae,192,22.53125,1.2805638195498376e-05,True,2.0989583333333335,2.1770833333333335,1.7239583333333333
rgb_mask_mae,141,111.191489361702,7.162668764521611e-25,True,2.021276595744681,2.617021276595745,1.3617021276595744
band13_global_mae,192,33.21875,6.118431323335895e-08,True,2.1458333333333335,2.1927083333333335,1.6614583333333333
band13_mask_mae,141,124.0992907801417,1.1276683803130016e-27,True,2.021276595744681,2.652482269503546,1.326241134751773
rgb_global_psnr,192,101.28125,1.0163797468107642e-22,True,2.1354166666666665,2.4322916666666665,1.4322916666666667
rgb_mask_psnr,141,146.39716312056726,1.6227811158713773e-32,True,1.9645390070921986,2.7375886524822697,1.297872340425532
band13_global_psnr,192,81.79166666666652,1.7344638414841744e-18,True,2.0625,2.4270833333333335,1.5104166666666667
band13_mask_psnr,141,147.74468085106378,8.272755479078615e-33,True,1.9716312056737588,2.7375886524822697,1.2907801418439717
rgb_global_ssim_standard,192,292.8854166666665,2.5161692807843577e-64,True,1.953125,2.8958333333333335,1.1510416666666667
