timestep,n,mean,std,min,q1,median,q3,max
t0,192,0.12555521830729166,0.14864111507978672,0.02923784,0.058838184749999994,0.084934475,0.09923836750000001,0.67956614
t1,192,0.2342587535677083,0.21618745939293357,0.04793744,0.0721289695,0.119474585,0.386401125,0.7075319
t2,192,0.10757981946875,0.10997797237704067,0.021343008,0.052620386000000005,0.0875437725,0.101310475,0.645632
t3,192,0.40027367265104163,0.22605371552335854,0.07487618,0.17748963750000002,0.392014505,0.630430525,0.77281976
