model_key,metric,raw_mean,blended_mean,mean_difference_blended_minus_raw,aggregate_improvement_percent,blended_better_samples,raw_better_samples,nearly_equal_samples,n
baseline,rgb_global_mae,0.023130131676358422,0.007019473416245131,-0.01611065826011329,69.65225484029641,173,15,5,192
baseline,rgb_mask_mae,0.017504048951669317,0.015088523987162306,-0.002415524964507009,13.79980695424557,86,51,6,141
baseline,band13_global_mae,0.02243703399826412,0.008912128344393512,-0.013524905653870605,60.27938298313844,172,16,5,192
baseline,band13_mask_mae,0.020162807840328433,0.01855064027582158,-0.0016121675645068517,7.995749288857932,71,66,5,141
baseline,rgb_global_psnr,32.170397022646014,42.44406528917684,10.273668266530825,31.935161568875834,176,12,6,192
baseline,rgb_mask_psnr,35.04148430433275,36.29684850529346,1.255364200960712,3.582508634788316,99,38,5,141
baseline,band13_global_psnr,31.68784778955265,38.87575398823335,7.187906198680694,22.683478683744887,171,17,6,192
baseline,band13_mask_psnr,33.43316660512912,33.551326727233054,0.11816012210395038,0.3534218684682109,75,62,6,141
baseline,rgb_global_ssim_standard,0.8954729166074268,0.9836021702470946,0.08812925363966777,9.841643672882123,174,14,6,192
baseline,outside_mae_13band,0.023650508012642953,0.009746152869440982,-0.01390435514320197,58.79093648123356,167,16,0,192
baseline,outside_mae_rgb,0.0241250817516381,0.0076986517836059865,-0.016426429968032112,68.08859815331716,168,15,0,192
gan_resnet,rgb_global_mae,0.05254934461376957,0.007660160647593894,-0.04488918396617567,85.42291877492475,185,3,5,192
gan_resnet,rgb_mask_mae,0.02487988682532329,0.017444558474817084,-0.0074353283505062,29.884896192286398,112,25,5,141
gan_resnet,band13_global_mae,0.05595043048970255,0.009691984332740563,-0.04625844615696198,82.67755181164453,185,3,5,192
gan_resnet,band13_mask_mae,0.02679587216065284,0.021257297511382413,-0.005538574649270429,20.669506915334857,101,36,5,141
gan_resnet,rgb_global_psnr,25.923703164136338,41.829844774596204,15.906141610459864,61.357520990538575,187,1,5,192
gan_resnet,rgb_mask_psnr,31.3154892852188,34.20933151370333,2.8938422284845413,9.240929311778162,109,28,5,141
gan_resnet,band13_global_psnr,23.357781797993017,38.326422239316315,14.968640441323293,64.08416933927114,186,2,5,192
gan_resnet,band13_mask_psnr,29.90669402264223,31.82035665615149,1.9136626335092555,6.3987769161661,103,34,5,141
gan_resnet,rgb_global_ssim_standard,0.7239350795226569,0.9774382612993356,0.2535031817766786,35.01739160697004,187,1,6,192
gan_resnet,outside_mae_13band,0.06178497841652951,0.010065863573099257,-0.05171911484343025,83.70823486375726,181,2,0,192
gan_resnet,outside_mae_rgb,0.057467626702915775,0.008054620301976923,-0.049413006400938854,85.98407353131873,181,2,0,192
conditional,rgb_global_mae,0.01884352278640677,0.006834659339211476,-0.012008863447195298,63.72939700987429,174,14,5,192
conditional,rgb_mask_mae,0.017788042796718098,0.01395893772881531,-0.0038291050679027843,21.52628657161349,101,36,5,141
conditional,band13_global_mae,0.020947508489476064,0.00872130995505071,-0.012226198534425352,58.36588413637709,173,15,6,192
conditional,band13_mask_mae,0.02071418687191589,0.01711255388365553,-0.003601632988260359,17.38727670330821,88,49,5,141
conditional,rgb_global_psnr,33.31896236753943,42.661812060344566,9.342849692805137,28.040638209992068,176,12,6,192
conditional,rgb_mask_psnr,34.8164884275743,36.98431189536267,2.1678234677883714,6.226427666012061,106,31,5,141
conditional,band13_global_psnr,32.041755938820415,39.065996351801495,7.024240412981089,21.9221456726434,173,15,5,192
conditional,band13_mask_psnr,33.13665590377021,34.216993600253176,1.080337696482957,3.2602496148684863,92,45,6,141
conditional,rgb_global_ssim_standard,0.9104620132672951,0.9845395725513214,0.07407755928402637,8.1362602947256,172,16,7,192
conditional,outside_mae_13band,0.02213175358668051,0.009633530337170092,-0.012498223249510419,56.471906758586854,168,15,0,192
conditional,outside_mae_rgb,0.019632757155357,0.0075306412973822874,-0.012102115857974712,61.64246703715034,169,14,0,192
