split,variable,n_pixels,min,p01,p05,p25,median,mean,p75,p95,p99,max,std,quantile_method
train,S2_B1_all_t,402653184,0.09650000184774399,0.1204833984375,0.1287841796875,0.1549072265625,0.1788330078125,0.24846476572934115,0.2486572265625,0.6712646484375,0.8272705078125,1.0,0.1659026991133513,4096-bin histogram over all pixels; maximum bin error 1/4096
train,pseudo_target_B1,100663296,0.10370568186044693,0.1212158203125,0.1258544921875,0.1427001953125,0.1585693359375,0.16311231955032124,0.1790771484375,0.2073974609375,0.2386474609375,0.8122861385345459,0.03185397411127795,4096-bin histogram over all pixels; maximum bin error 1/4096
train,S2_B2_all_t,402653184,0.012199999764561653,0.0889892578125,0.0987548828125,0.1339111328125,0.1636962890625,0.22972633282579116,0.2305908203125,0.6566162109375,0.8192138671875,1.0,0.16893440649995092,4096-bin histogram over all pixels; maximum bin error 1/4096
train,pseudo_target_B2,100663296,0.03231460973620415,0.0904541015625,0.0953369140625,0.1141357421875,0.1375732421875,0.1416777798982638,0.1619873046875,0.2015380859375,0.2342529296875,0.8342776298522949,0.0374887455962013,4096-bin histogram over all pixels; maximum bin error 1/4096
train,S2_B3_all_t,402653184,9.999999747378752e-05,0.0616455078125,0.0804443359375,0.1251220703125,0.1619873046875,0.21844832135986889,0.2330322265625,0.6148681640625,0.7733154296875,1.0,0.15935572821665617,4096-bin histogram over all pixels; maximum bin error 1/4096
train,pseudo_target_B3,100663296,0.018827730789780617,0.0648193359375,0.0733642578125,0.0985107421875,0.1309814453125,0.13484739632697929,0.1627197265625,0.2142333984375,0.2535400390625,0.8168182969093323,0.04629934407152253,4096-bin histogram over all pixels; maximum bin error 1/4096
train,S2_B4_all_t,402653184,9.999999747378752e-05,0.0394287109375,0.0665283203125,0.1346435546875,0.1883544921875,0.23930467539766398,0.2755126953125,0.6512451171875,0.8258056640625,1.0,0.17073628690059967,4096-bin histogram over all pixels; maximum bin error 1/4096
train,pseudo_target_B4,100663296,0.012341715395450592,0.0421142578125,0.0535888671875,0.0943603515625,0.1488037109375,0.15047219025868755,0.1942138671875,0.2672119140625,0.3165283203125,0.9343408346176147,0.06731771880185207,4096-bin histogram over all pixels; maximum bin error 1/4096
train,S2_B5_all_t,402653184,9.999999747378752e-05,0.0396728515625,0.0841064453125,0.1470947265625,0.1986083984375,0.25194785148803733,0.2874755859375,0.6673583984375,0.8416748046875,1.0,0.17176435908976154,4096-bin histogram over all pixels; maximum bin error 1/4096
train,pseudo_target_B5,100663296,0.02550843544304371,0.0379638671875,0.0653076171875,0.1124267578125,0.1612548828125,0.1641845971890807,0.2073974609375,0.2813720703125,0.3304443359375,0.9630355834960938,0.06742201377832888,4096-bin histogram over all pixels; maximum bin error 1/4096
train,S2_B6_all_t,402653184,0.012400000356137753,0.0413818359375,0.1021728515625,0.1741943359375,0.2257080078125,0.27544962700546083,0.3111572265625,0.6785888671875,0.8509521484375,1.0,0.16897194895390885,4096-bin histogram over all pixels; maximum bin error 1/4096
train,pseudo_target_B6,100663296,0.020383503288030624,0.0347900390625,0.0770263671875,0.1466064453125,0.1898193359375,0.1911319979416698,0.2352294921875,0.3070068359375,0.3555908203125,0.9652589559555054,0.06942661369413675,4096-bin histogram over all pixels; maximum bin error 1/4096
train,S2_B7_all_t,402653184,0.00019999999494757503,0.0406494140625,0.1072998046875,0.1856689453125,0.2435302734375,0.2898372709795512,0.3316650390625,0.6893310546875,0.8646240234375,1.0,0.17020457688905372,4096-bin histogram over all pixels; maximum bin error 1/4096
train,pseudo_target_B7,100663296,0.011024772189557552,0.0330810546875,0.0806884765625,0.1573486328125,0.2042236328125,0.20554301624326518,0.2550048828125,0.3302001953125,0.3797607421875,0.9843369722366333,0.07525100896445078,4096-bin histogram over all pixels; maximum bin error 1/4096
train,S2_B8_all_t,402653184,9.999999747378752e-05,0.0347900390625,0.0999755859375,0.1768798828125,0.2354736328125,0.2809913616053649,0.3236083984375,0.6773681640625,0.8465576171875,1.0,0.16861917054567346,4096-bin histogram over all pixels; maximum bin error 1/4096
